  31.7940,  31.7953,  31.7965,  31.7977,  31.7988,  31.8000,  31.8011,  31.8021,  31.8032,  31.8042,  31.8052,  31.8061,  31.8070,  31.8079,  31.8088,  31.8096,  31.8104,  31.8112,  31.8119,  31.8126,  31.8133,  31.8140,  31.8146,  31.8152,  31.8157,  31.8162,  31.8167,  31.8172,  31.8176,  31.8181,  31.8184,  31.8188,  31.8191,  31.8194,  31.8196,  31.8199,  31.8201,  31.8202,  31.8204,  31.8205,  31.8205,  31.8206,  31.8206,  31.8206,  31.8205,  31.8205,  31.8204,  31.8202,  31.8201,  31.8199,  31.8196,  31.8194,  31.8191,  31.8188,  31.8184,  31.8181,  31.8177,  31.8172,  31.8167,  31.8163,  31.8157,  31.8152,  31.8146,  31.8140,  31.8133,  31.8126,  31.8119,  31.8112,  31.8104,  31.8096,  31.8088,  31.8079,  31.8070,  31.8061,  31.8052,  31.8042,  31.8032,  31.8021,  31.8011,  31.8000,  31.7988,  31.7977,  31.7965,  31.7953,  31.7940,  31.7927,  31.7914,  31.7901,  31.7887,  31.7873,  31.7859,  31.7844,  31.7829,  31.7814,  31.7799,  31.7783,  31.7767,  31.7750,  31.7733,  31.7716,  31.7699,  31.7681,  31.7663,  31.7645,  31.7627,  31.7608,  31.7589,  31.7569,  31.7550,  31.7530,  31.7509,  31.7489,  31.7468,  31.7446,  31.7425,  31.7403,  31.7381,  31.7359,  31.7336,  31.7313,  31.7289,  31.7266,  31.7242,  31.7218,  31.7193,  31.7168,  31.7143,  31.7118,  31.7092,  31.7066,  31.7040,  31.7013,  31.6986,  31.6959,  31.6931,  31.6903,  31.6875,  31.6847,  31.6818,  31.6789,  31.6760,  31.6730,  31.6700,  31.6670,  31.6639,  31.6609,  31.6577,  31.6546,  31.6514,
  31.8393,  31.8405,  31.8418,  31.8430,  31.8441,  31.8452,  31.8463,  31.8474,  31.8485,  31.8495,  31.8505,  31.8514,  31.8523,  31.8532,  31.8541,  31.8549,  31.8557,  31.8565,  31.8572,  31.8579,  31.8586,  31.8593,  31.8599,  31.8605,  31.8610,  31.8615,  31.8620,  31.8625,  31.8630,  31.8634,  31.8637,  31.8641,  31.8644,  31.8647,  31.8649,  31.8652,  31.8654,  31.8655,  31.8657,  31.8658,  31.8659,  31.8659,  31.8659,  31.8659,  31.8659,  31.8658,  31.8657,  31.8655,  31.8654,  31.8652,  31.8649,  31.8647,  31.8644,  31.8641,  31.8637,  31.8634,  31.8630,  31.8625,  31.8621,  31.8616,  31.8610,  31.8605,  31.8599,  31.8593,  31.8586,  31.8579,  31.8572,  31.8565,  31.8557,  31.8549,  31.8541,  31.8532,  31.8523,  31.8514,  31.8505,  31.8495,  31.8485,  31.8474,  31.8464,  31.8453,  31.8441,  31.8430,  31.8418,  31.8406,  31.8393,  31.8380,  31.8367,  31.8354,  31.8340,  31.8326,  31.8312,  31.8297,  31.8282,  31.8267,  31.8251,  31.8235,  31.8219,  31.8203,  31.8186,  31.8169,  31.8152,  31.8134,  31.8116,  31.8098,  31.8079,  31.8060,  31.8041,  31.8022,  31.8002,  31.7982,  31.7962,  31.7941,  31.7920,  31.7899,  31.7877,  31.7855,  31.7833,  31.7811,  31.7788,  31.7765,  31.7742,  31.7718,  31.7694,  31.7670,  31.7645,  31.7620,  31.7595,  31.7570,  31.7544,  31.7518,  31.7492,  31.7465,  31.7438,  31.7411,  31.7383,  31.7355,  31.7327,  31.7299,  31.7270,  31.7241,  31.7212,  31.7182,  31.7152,  31.7122,  31.7091,  31.7060,  31.7029,  31.6998,  31.6966,
  31.8846,  31.8858,  31.8871,  31.8882,  31.8894,  31.8905,  31.8916,  31.8927,  31.8938,  31.8948,  31.8958,  31.8967,  31.8976,  31.8985,  31.8994,  31.9002,  31.9010,  31.9018,  31.9025,  31.9032,  31.9039,  31.9046,  31.9052,  31.9058,  31.9063,  31.9069,  31.9074,  31.9078,  31.9083,  31.9087,  31.9090,  31.9094,  31.9097,  31.9100,  31.9103,  31.9105,  31.9107,  31.9108,  31.9110,  31.9111,  31.9112,  31.9112,  31.9112,  31.9112,  31.9112,  31.9111,  31.9110,  31.9109,  31.9107,  31.9105,  31.9103,  31.9100,  31.9097,  31.9094,  31.9091,  31.9087,  31.9083,  31.9078,  31.9074,  31.9069,  31.9063,  31.9058,  31.9052,  31.9046,  31.9039,  31.9032,  31.9025,  31.9018,  31.9010,  31.9002,  31.8994,  31.8985,  31.8976,  31.8967,  31.8958,  31.8948,  31.8938,  31.8927,  31.8917,  31.8906,  31.8894,  31.8883,  31.8871,  31.8858,  31.8846,  31.8833,  31.8820,  31.8807,  31.8793,  31.8779,  31.8764,  31.8750,  31.8735,  31.8720,  31.8704,  31.8688,  31.8672,  31.8656,  31.8639,  31.8622,  31.8604,  31.8587,  31.8569,  31.8551,  31.8532,  31.8513,  31.8494,  31.8474,  31.8455,  31.8435,  31.8414,  31.8394,  31.8373,  31.8351,  31.8330,  31.8308,  31.8286,  31.8263,  31.8241,  31.8217,  31.8194,  31.8170,  31.8146,  31.8122,  31.8098,  31.8073,  31.8048,  31.8022,  31.7996,  31.7970,  31.7944,  31.7917,  31.7890,  31.7863,  31.7835,  31.7807,  31.7779,  31.7751,  31.7722,  31.7693,  31.7663,  31.7634,  31.7604,  31.7574,  31.7543,  31.7512,  31.7481,  31.7449,  31.7418,
  31.9299,  31.9311,  31.9324,  31.9335,  31.9347,  31.9358,  31.9369,  31.9380,  31.9391,  31.9401,  31.9411,  31.9420,  31.9429,  31.9438,  31.9447,  31.9455,  31.9463,  31.9471,  31.9478,  31.9485,  31.9492,  31.9499,  31.9505,  31.9511,  31.9516,  31.9522,  31.9527,  31.9531,  31.9536,  31.9540,  31.9544,  31.9547,  31.9550,  31.9553,  31.9556,  31.9558,  31.9560,  31.9562,  31.9563,  31.9564,  31.9565,  31.9565,  31.9565,  31.9565,  31.9565,  31.9564,  31.9563,  31.9562,  31.9560,  31.9558,  31.9556,  31.9553,  31.9550,  31.9547,  31.9544,  31.9540,  31.9536,  31.9531,  31.9527,  31.9522,  31.9517,  31.9511,  31.9505,  31.9499,  31.9492,  31.9486,  31.9478,  31.9471,  31.9463,  31.9455,  31.9447,  31.9438,  31.9429,  31.9420,  31.9411,  31.9401,  31.9391,  31.9380,  31.9370,  31.9359,  31.9347,  31.9336,  31.9324,  31.9311,  31.9299,  31.9286,  31.9273,  31.9259,  31.9246,  31.9232,  31.9217,  31.9203,  31.9188,  31.9172,  31.9157,  31.9141,  31.9125,  31.9108,  31.9092,  31.9075,  31.9057,  31.9040,  31.9022,  31.9003,  31.8985,  31.8966,  31.8947,  31.8927,  31.8907,  31.8887,  31.8867,  31.8846,  31.8825,  31.8804,  31.8782,  31.8760,  31.8738,  31.8716,  31.8693,  31.8670,  31.8647,  31.8623,  31.8599,  31.8575,  31.8550,  31.8525,  31.8500,  31.8474,  31.8449,  31.8422,  31.8396,  31.8369,  31.8342,  31.8315,  31.8287,  31.8260,  31.8231,  31.8203,  31.8174,  31.8145,  31.8115,  31.8086,  31.8056,  31.8025,  31.7995,  31.7964,  31.7933,  31.7901,  31.7869,
  31.9752,  31.9764,  31.9777,  31.9789,  31.9800,  31.9812,  31.9823,  31.9833,  31.9844,  31.9854,  31.9864,  31.9873,  31.9883,  31.9891,  31.9900,  31.9908,  31.9916,  31.9924,  31.9932,  31.9939,  31.9945,  31.9952,  31.9958,  31.9964,  31.9970,  31.9975,  31.9980,  31.9985,  31.9989,  31.9993,  31.9997,  32.0000,  32.0004,  32.0006,  32.0009,  32.0011,  32.0013,  32.0015,  32.0016,  32.0017,  32.0018,  32.0019,  32.0019,  32.0019,  32.0018,  32.0017,  32.0016,  32.0015,  32.0013,  32.0011,  32.0009,  32.0007,  32.0004,  32.0000,  31.9997,  31.9993,  31.9989,  31.9985,  31.9980,  31.9975,  31.9970,  31.9964,  31.9958,  31.9952,  31.9946,  31.9939,  31.9932,  31.9924,  31.9917,  31.9909,  31.9900,  31.9892,  31.9883,  31.9873,  31.9864,  31.9854,  31.9844,  31.9834,  31.9823,  31.9812,  31.9800,  31.9789,  31.9777,  31.9765,  31.9752,  31.9739,  31.9726,  31.9713,  31.9699,  31.9685,  31.9670,  31.9656,  31.9641,  31.9625,  31.9610,  31.9594,  31.9578,  31.9561,  31.9545,  31.9527,  31.9510,  31.9492,  31.9474,  31.9456,  31.9438,  31.9419,  31.9399,  31.9380,  31.9360,  31.9340,  31.9320,  31.9299,  31.9278,  31.9257,  31.9235,  31.9213,  31.9191,  31.9168,  31.9146,  31.9122,  31.9099,  31.9075,  31.9051,  31.9027,  31.9002,  31.8977,  31.8952,  31.8927,  31.8901,  31.8875,  31.8848,  31.8822,  31.8795,  31.8767,  31.8740,  31.8712,  31.8683,  31.8655,  31.8626,  31.8597,  31.8568,  31.8538,  31.8508,  31.8477,  31.8447,  31.8416,  31.8385,  31.8353,  31.8321,
  32.0205,  32.0218,  32.0230,  32.0242,  32.0253,  32.0265,  32.0276,  32.0287,  32.0297,  32.0307,  32.0317,  32.0327,  32.0336,  32.0345,  32.0353,  32.0362,  32.0370,  32.0377,  32.0385,  32.0392,  32.0399,  32.0405,  32.0412,  32.0417,  32.0423,  32.0428,  32.0433,  32.0438,  32.0442,  32.0447,  32.0450,  32.0454,  32.0457,  32.0460,  32.0462,  32.0465,  32.0467,  32.0468,  32.0470,  32.0471,  32.0472,  32.0472,  32.0472,  32.0472,  32.0472,  32.0471,  32.0470,  32.0468,  32.0467,  32.0465,  32.0462,  32.0460,  32.0457,  32.0454,  32.0450,  32.0447,  32.0443,  32.0438,  32.0433,  32.0428,  32.0423,  32.0418,  32.0412,  32.0405,  32.0399,  32.0392,  32.0385,  32.0378,  32.0370,  32.0362,  32.0353,  32.0345,  32.0336,  32.0327,  32.0317,  32.0307,  32.0297,  32.0287,  32.0276,  32.0265,  32.0254,  32.0242,  32.0230,  32.0218,  32.0205,  32.0192,  32.0179,  32.0166,  32.0152,  32.0138,  32.0123,  32.0109,  32.0094,  32.0078,  32.0063,  32.0047,  32.0031,  32.0014,  31.9998,  31.9980,  31.9963,  31.9945,  31.9927,  31.9909,  31.9890,  31.9871,  31.9852,  31.9833,  31.9813,  31.9793,  31.9772,  31.9752,  31.9731,  31.9709,  31.9688,  31.9666,  31.9644,  31.9621,  31.9598,  31.9575,  31.9552,  31.9528,  31.9504,  31.9480,  31.9455,  31.9430,  31.9405,  31.9379,  31.9353,  31.9327,  31.9301,  31.9274,  31.9247,  31.9220,  31.9192,  31.9164,  31.9136,  31.9107,  31.9078,  31.9049,  31.9020,  31.8990,  31.8960,  31.8930,  31.8899,  31.8868,  31.8837,  31.8805,  31.8773,
  32.0658,  32.0671,  32.0683,  32.0695,  32.0707,  32.0718,  32.0729,  32.0740,  32.0750,  32.0760,  32.0770,  32.0780,  32.0789,  32.0798,  32.0807,  32.0815,  32.0823,  32.0831,  32.0838,  32.0845,  32.0852,  32.0859,  32.0865,  32.0871,  32.0876,  32.0882,  32.0887,  32.0891,  32.0896,  32.0900,  32.0904,  32.0907,  32.0910,  32.0913,  32.0916,  32.0918,  32.0920,  32.0922,  32.0923,  32.0924,  32.0925,  32.0925,  32.0926,  32.0925,  32.0925,  32.0924,  32.0923,  32.0922,  32.0920,  32.0918,  32.0916,  32.0913,  32.0910,  32.0907,  32.0904,  32.0900,  32.0896,  32.0892,  32.0887,  32.0882,  32.0877,  32.0871,  32.0865,  32.0859,  32.0852,  32.0845,  32.0838,  32.0831,  32.0823,  32.0815,  32.0807,  32.0798,  32.0789,  32.0780,  32.0770,  32.0761,  32.0750,  32.0740,  32.0729,  32.0718,  32.0707,  32.0695,  32.0683,  32.0671,  32.0658,  32.0645,  32.0632,  32.0619,  32.0605,  32.0591,  32.0577,  32.0562,  32.0547,  32.0532,  32.0516,  32.0500,  32.0484,  32.0467,  32.0451,  32.0433,  32.0416,  32.0398,  32.0380,  32.0362,  32.0343,  32.0324,  32.0305,  32.0286,  32.0266,  32.0246,  32.0225,  32.0205,  32.0183,  32.0162,  32.0140,  32.0119,  32.0096,  32.0074,  32.0051,  32.0028,  32.0004,  31.9981,  31.9956,  31.9932,  31.9907,  31.9883,  31.9857,  31.9832,  31.9806,  31.9780,  31.9753,  31.9726,  31.9699,  31.9672,  31.9644,  31.9616,  31.9588,  31.9559,  31.9531,  31.9501,  31.9472,  31.9442,  31.9412,  31.9382,  31.9351,  31.9320,  31.9289,  31.9257,  31.9225,
  32.1111,  32.1124,  32.1136,  32.1148,  32.1160,  32.1171,  32.1182,  32.1193,  32.1204,  32.1214,  32.1224,  32.1233,  32.1243,  32.1251,  32.1260,  32.1269,  32.1277,  32.1284,  32.1292,  32.1299,  32.1306,  32.1312,  32.1318,  32.1324,  32.1330,  32.1335,  32.1340,  32.1345,  32.1349,  32.1353,  32.1357,  32.1361,  32.1364,  32.1367,  32.1369,  32.1372,  32.1374,  32.1375,  32.1377,  32.1378,  32.1379,  32.1379,  32.1379,  32.1379,  32.1379,  32.1378,  32.1377,  32.1375,  32.1374,  32.1372,  32.1369,  32.1367,  32.1364,  32.1361,  32.1357,  32.1354,  32.1349,  32.1345,  32.1340,  32.1335,  32.1330,  32.1324,  32.1319,  32.1312,  32.1306,  32.1299,  32.1292,  32.1284,  32.1277,  32.1269,  32.1260,  32.1252,  32.1243,  32.1233,  32.1224,  32.1214,  32.1204,  32.1193,  32.1183,  32.1172,  32.1160,  32.1148,  32.1137,  32.1124,  32.1112,  32.1099,  32.1086,  32.1072,  32.1058,  32.1044,  32.1030,  32.1015,  32.1000,  32.0985,  32.0969,  32.0953,  32.0937,  32.0921,  32.0904,  32.0887,  32.0869,  32.0851,  32.0833,  32.0815,  32.0796,  32.0777,  32.0758,  32.0739,  32.0719,  32.0699,  32.0678,  32.0657,  32.0636,  32.0615,  32.0593,  32.0571,  32.0549,  32.0527,  32.0504,  32.0481,  32.0457,  32.0433,  32.0409,  32.0385,  32.0360,  32.0335,  32.0310,  32.0284,  32.0258,  32.0232,  32.0206,  32.0179,  32.0152,  32.0124,  32.0097,  32.0069,  32.0040,  32.0012,  31.9983,  31.9954,  31.9924,  31.9894,  31.9864,  31.9834,  31.9803,  31.9772,  31.9741,  31.9709,  31.9677,
  32.1565,  32.1577,  32.1590,  32.1602,  32.1613,  32.1625,  32.1636,  32.1647,  32.1657,  32.1667,  32.1677,  32.1687,  32.1696,  32.1705,  32.1714,  32.1722,  32.1730,  32.1738,  32.1745,  32.1752,  32.1759,  32.1766,  32.1772,  32.1778,  32.1784,  32.1789,  32.1794,  32.1799,  32.1803,  32.1807,  32.1811,  32.1814,  32.1818,  32.1820,  32.1823,  32.1825,  32.1827,  32.1829,  32.1830,  32.1831,  32.1832,  32.1833,  32.1833,  32.1833,  32.1832,  32.1831,  32.1830,  32.1829,  32.1827,  32.1825,  32.1823,  32.1820,  32.1818,  32.1814,  32.1811,  32.1807,  32.1803,  32.1799,  32.1794,  32.1789,  32.1784,  32.1778,  32.1772,  32.1766,  32.1759,  32.1752,  32.1745,  32.1738,  32.1730,  32.1722,  32.1714,  32.1705,  32.1696,  32.1687,  32.1677,  32.1667,  32.1657,  32.1647,  32.1636,  32.1625,  32.1614,  32.1602,  32.1590,  32.1578,  32.1565,  32.1552,  32.1539,  32.1525,  32.1512,  32.1498,  32.1483,  32.1468,  32.1453,  32.1438,  32.1422,  32.1407,  32.1390,  32.1374,  32.1357,  32.1340,  32.1322,  32.1305,  32.1287,  32.1268,  32.1250,  32.1231,  32.1211,  32.1192,  32.1172,  32.1152,  32.1131,  32.1110,  32.1089,  32.1068,  32.1046,  32.1024,  32.1002,  32.0979,  32.0957,  32.0933,  32.0910,  32.0886,  32.0862,  32.0838,  32.0813,  32.0788,  32.0763,  32.0737,  32.0711,  32.0685,  32.0658,  32.0632,  32.0604,  32.0577,  32.0549,  32.0521,  32.0493,  32.0464,  32.0435,  32.0406,  32.0377,  32.0347,  32.0317,  32.0286,  32.0256,  32.0224,  32.0193,  32.0162,  32.0130,
  32.2018,  32.2031,  32.2043,  32.2055,  32.2067,  32.2078,  32.2089,  32.2100,  32.2111,  32.2121,  32.2131,  32.2140,  32.2150,  32.2159,  32.2167,  32.2176,  32.2184,  32.2191,  32.2199,  32.2206,  32.2213,  32.2219,  32.2226,  32.2232,  32.2237,  32.2242,  32.2248,  32.2252,  32.2257,  32.2261,  32.2265,  32.2268,  32.2271,  32.2274,  32.2277,  32.2279,  32.2281,  32.2283,  32.2284,  32.2285,  32.2286,  32.2286,  32.2286,  32.2286,  32.2286,  32.2285,  32.2284,  32.2283,  32.2281,  32.2279,  32.2277,  32.2274,  32.2271,  32.2268,  32.2265,  32.2261,  32.2257,  32.2252,  32.2248,  32.2243,  32.2237,  32.2232,  32.2226,  32.2219,  32.2213,  32.2206,  32.2199,  32.2192,  32.2184,  32.2176,  32.2167,  32.2159,  32.2150,  32.2140,  32.2131,  32.2121,  32.2111,  32.2100,  32.2090,  32.2079,  32.2067,  32.2055,  32.2043,  32.2031,  32.2019,  32.2006,  32.1992,  32.1979,  32.1965,  32.1951,  32.1936,  32.1922,  32.1907,  32.1891,  32.1876,  32.1860,  32.1844,  32.1827,  32.1810,  32.1793,  32.1776,  32.1758,  32.1740,  32.1721,  32.1703,  32.1684,  32.1664,  32.1645,  32.1625,  32.1605,  32.1584,  32.1564,  32.1542,  32.1521,  32.1499,  32.1477,  32.1455,  32.1432,  32.1410,  32.1386,  32.1363,  32.1339,  32.1315,  32.1290,  32.1266,  32.1241,  32.1215,  32.1190,  32.1164,  32.1138,  32.1111,  32.1084,  32.1057,  32.1030,  32.1002,  32.0974,  32.0946,  32.0917,  32.0888,  32.0859,  32.0829,  32.0799,  32.0769,  32.0739,  32.0708,  32.0677,  32.0645,  32.0614,  32.0582,
